Jahr,PLZ,GA,GA_flag,HTA,HTA_flag
2012,1870,407.00,,2174.00,
2012,1871,57.00,,358.00,
2012,1872,105.00,,520.00,
2012,1873,44.00,,281.00,
2012,1874,23.00,,338.00,
2012,1875,21.00,,141.00,
2012,1880,344.00,,1321.00,
2012,1882,54.00,,366.00,
2012,1884,59.00,,528.00,
2012,1885,28.00,,307.00,
2012,1890,161.00,,770.00,
2012,1891,9.86,1,134.00,
2012,1892,41.00,,167.00,
2012,1893,68.00,,384.00,
2012,1895,61.00,,268.00,
2012,1896,85.00,,542.00,
2012,1897,116.00,,700.00,
2012,1898,21.00,,170.00,
2012,1899,9.86,1,80.00,
2012,1902,30.00,,226.00,
2012,1903,9.86,1,110.00,
2012,1904,35.00,,234.00,
2012,1905,23.00,,87.00,
2012,1906,34.00,,178.00,
2012,1907,129.00,,578.00,
2012,1908,57.00,,276.00,
2012,1911,9.86,1,166.00,
2012,1912,65.00,,328.00,
2012,1913,80.00,,410.00,
2012,1914,9.86,1,109.00,
2012,1918,9.86,1,66.00,
2012,1920,764.00,,3231.00,
2012,1921,51.00,,275.00,
2012,1922,40.00,,249.00,
2012,1923,23.00,,108.00,
2012,1925,9.86,1,106.00,
2012,1926,304.00,,1159.00,
2012,1927,21.00,,119.00,
2012,1928,20.00,,144.00,
2012,1929,9.86,1,11.43,2
2012,1932,22.00,,75.00,
2012,1933,26.00,,129.00,
2012,1934,93.00,,408.00,
2012,1936,71.00,,893.00,
2012,1937,86.00,,307.00,
2012,1938,9.86,1,55.00,
2012,1941,43.00,,183.00,
2012,1942,9.86,1,39.00,
2012,1943,9.86,1,53.00,
2012,1944,9.86,1,25.00,
2012,1945,23.00,,85.00,
2012,1946,9.86,1,20.00,
2012,1947,27.00,,113.00,
2012,1948,9.86,1,62.00,
2012,1950,1151.00,,6784.00,
2012,1955,94.00,,498.00,
2012,1957,74.00,,413.00,
2012,1958,114.00,,808.00,
2012,1961,9.86,1,53.00,
2012,1962,29.00,,186.00,
2012,1963,148.00,,817.00,
2012,1964,126.00,,799.00,
2012,1965,253.00,,1556.00,
2012,1966,103.00,,750.00,
2012,1967,122.00,,868.00,
2012,1968,9.86,1,85.00,
2012,1969,9.86,1,177.00,
2012,1971,119.00,,775.00,
2012,1972,9.86,1,194.00,
2012,1973,23.00,,142.00,
2012,1974,48.00,,280.00,
2012,1975,23.00,,96.00,
2012,1976,51.00,,370.00,
2012,1977,9.86,1,113.00,
2012,1978,55.00,,327.00,
2012,1981,42.00,,302.00,
2012,1982,23.00,,89.00,
2012,1983,29.00,,135.00,
2012,1984,9.86,1,76.00,
2012,1985,9.86,1,60.00,
2012,1986,9.86,1,11.43,2
2012,1987,26.00,,204.00,
2012,1988,9.86,1,26.00,
2012,1991,34.00,,219.00,
2012,1992,9.86,1,97.00,
2012,1993,21.00,,123.00,
2012,1994,26.00,,160.00,
2012,1996,82.00,,453.00,
2012,1997,71.00,,584.00,
2012,2000,2459.00,,9370.00,
2012,2012,88.00,,463.00,
2012,2013,149.00,,1113.00,
2012,2014,46.00,,388.00,
2012,2015,8.01,1,132.00,
2012,2016,86.00,,817.00,
2012,2017,97.00,,799.00,
2012,2019,8.01,1,144.00,
2012,2022,81.00,,679.00,
2012,2023,25.00,,224.00,
2012,2024,51.00,,433.00,
2012,2025,24.00,,192.00,
2012,2027,8.01,1,61.00,
2012,2028,8.01,1,63.00,
2012,2034,208.00,,1031.00,
2012,2035,151.00,,666.00,
2012,2036,87.00,,465.00,
2012,2037,37.00,,234.00,
2012,2042,8.01,1,87.00,
2012,2043,8.01,1,98.00,
2012,2046,8.01,1,184.00,
2012,2052,32.00,,319.00,
2012,2053,71.00,,440.00,
2012,2054,38.00,,371.00,
2012,2056,8.01,1,250.00,
2012,2057,22.00,,89.00,
2012,2058,8.01,1,40.00,
